,Name,Address,Locator,Phone,Hours_Mon,Hours_Tue,Hours_Wed,Hours_Thr,Hours_Fri,Hours_Sat,Hours_Sun
0,Highway Inn Kaka'ako,"680 Ala Moana Blvd Ste 105 Honolulu, HI 96813",Honolulu,808-954-4955,9:30AM-8:00PM,9:30AM-8:00PM,9:30AM-8:00PM,9:30AM-8:00PM,9:30AM-8:30PM,9:30AM-8:30PM,9:30AM-3:00PM
1,Elena's Home of Finest Filipino Foods,"94-866 Moloalo St Ste D4A Waipahu, HI 96797",Waipahu,808-676-8005,8:00AM-8:00PM,8:00AM-8:00PM,8:00AM-8:00PM,8:00AM-8:00PM,7:00AM-8:00AM,7:00AM-8:00AM,8:00AM-8:00AM
2,Resaurant Kunio,"94-799 Lumiaina St Unit 2F Waipahu, HI 96797",Waipahu,808-680-9188,10:30AM-10:00PM,10:30AM-10:00PM,10:30AM-10:00PM,10:30AM-10:00PM,10:30AM-10:00PM,10:30AM-10:00PM,10:30AM-10:00PM
3,Taqueria el Ranchero - Kapolei,"91-5431 Kapolei Pkwy Ste 501 Kapolei, HI 967077",Kapolei,808-621-9000,7:00AM-10:00PM,7:00AM-10:00PM,7:00AM-10:00PM,7:00AM-10:00PM,7:00AM-2:00AM,7:00AM-2:00AM,7:00AM-10:00PM
4,Yard House,"226 Lewers St Honolulu, HI 96815",Honolulu,808-923-9273,11:00AM-1:00AM,11:00AM-1:00AM,11:00AM-1:00AM,11:00AM-1:00AM,11:00AM-1:20AM,11:00AM-1:20AM,11:00AM-1:00AM
5,The LookOut Food & Drink,"91-1621 Keoneula Blvd Ste 1200 Ewa Beach, HI 96706",Eva Beach,808-900-3579,11:00AM-9:00PM,3:00PM-9:00PM,3:00PM-9:00PM,11:00AM-9:00PM,11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-9:00PM
6,Rokkaku Hamakatsu,"1450 Ala Moana Blvd Ste 2056 Honolulu, HI 96814",Honolulu,808-946-3355,11:00AM-8:00PM,11:00AM-8:00PM,11:00AM-8:00PM,11:00AM-8:00PM,11:00AM-8:00PM,11:00AM-8:00PM,11:00AM-8:00PM
7,Boots & Kimo's Homestyle Kitchen,"1020 Keolu Dr D1 Kailua, HI 96734",Kailua,808-263-7929,8:00AM-1:00PM,Closed,Closed,8:00AM-1:00PM,8:00AM-1:00PM,8:00AM-2:00PM,8:00AM-2:00PM
8,The Daley,"1110 Nuuanu Ave Honolulu, HI 96817",Honolulu,none,11:00AM-8:00PM,11:00AM-8:00PM,11:00AM-8:00PM,11:00AM-8:00PM,11:00AM-8:00PM,11:00AM-8:00PM,11:00AM-8:00PM
9,Haleiwa Joe's,"66-011 Kamehameha Hwy Haleiwa, HI 967127",Haleiwa,808-637-8005,4:30PM-9:00PM,4:30PM-9:00PM,4:30PM-9:00PM,4:30PM-9:00PM,11:00AM-9:00PM,11:00AM-9:00PM,11:00AM-9:00PM
10,Da Burger Wing Hub,"93 Kamehameha Hwy Ste 102 Wahiawa, HI 96786",Wahiawa,808-312-4248,10:00AM-8:00PM,10:00AM-8:00PM,10:00AM-8:00PM,10:00AM-9:00PM,10:00AM-9:00PM,9:00AM-9:00PM,9:00AM-7:00PM
11,‘I'O Waikiki Korean BBQ Restaurant,"2250 Kalākaua Ave Ste 112 Urban Honolulu, HI 96815",Honolulu,808-808-4051,11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-10:00PM
12,Jin Joo Korean Restaurant,"98-020 Kamehameha Hwy Ste 111 Aiea, HI 96701",Aiea,808-488-3355,10:00AM-9:00PM,10:00AM-9:00PM,10:00AM-9:00PM,10:00AM-9:00PM,10:00AM-9:00PM,10:00AM-9:00PM,Closed
13,Button Up Cafe,"97-719 Kamehameha Hwy Ste A102 Pearl City, HI 96782",Pearl City,808-454-5454,8:00AM-1:30PM,8:00AM-1:30PM,8:00AM-1:30PM,8:00AM-1:30PM,8:00AM-1:30PM,8:00AM-1:30PM,8:00AM-1:30PM
14,Julie'Z Restaurant,"590 Farrington Hwy Ste 532 Kapolei, HI 96707",Kapolei,808-693-8778,7:00AM-8:30PM,7:00AM-8:30PM,7:00AM-8:30PM,7:00AM-8:30PM,7:00AM-9:00PM,7:00AM-9:00PM,7:00AM-8:30PM
